2025-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2025-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2025-04-16|09:30:00|Office rent|Building Management|-1200.00
2025-04-15|14:30:00|Desk|amazon|-1500.00
2025-05-02|10:02:01|Water bill|Con ED|100.00
2025-05-01|10:24:00|Amazon sub|Amazon LLC|-89.99
2024-09-28|11:11:00|Steam|Valve|-2500.00
2025-04-17|08:45:00|Staples|Office Supplies|-75.30
2025-04-18|12:30:00|Client Payment|ABC Corp|2500.00
2025-04-19|15:22:00|Internet Bill|Verizon|-79.99
2025-04-20|10:05:00|Coffee Machine|Best Buy|-199.99
2025-04-21|11:30:00|Invoice 1002 paid|Smith Co|1800.00
2025-04-22|14:15:00|Tax Preparation|H&R Block|-350.00
2025-04-23|09:00:00|Printer Ink|Staples|-45.75
2025-04-24|13:45:00|Lunch Meeting|Local Cafe|-32.50
2025-04-25|16:00:00|Software Subscription|Adobe|-54.99
2025-04-26|10:30:00|Office Chair|IKEA|-249.00
2025-04-27|11:20:00|Electric Bill|Con ED|-125.75
2025-04-28|14:00:00|Web Hosting|Bluehost|-12.99
2025-04-29|09:15:00|Client Gift|Amazon|-59.95
2025-04-30|12:45:00|Invoice 1003 paid|Johnson LLC|3200.00
2025-05-01|15:30:00|Cleaning Service|MaidPro|-200.00
2025-05-02|08:20:00|Business Cards|Vistaprint|-89.50
2025-05-03|10:10:00|Conference Tickets|TechConf|-499.00
2023-11-10|14:22:00|Laptop|Best Buy|-1200.00
2022-07-05|09:15:00|Invoice 2001 paid|Delta Solutions|5000.00
2021-03-18|16:45:00|Legal Fees|Lawson & Partners|-750.00
2020-12-01|11:30:00|Yearly Software License|Microsoft|-499.00
2024-02-14|10:00:00|Valentine's Client Gifts|Amazon|-150.00
2023-08-22|13:10:00|Conference Hotel|Marriott|-600.00
2022-05-30|08:05:00|Office Plants|Home Depot|-85.50
2021-09-12|15:55:00|Freelancer Payment|Jane Doe|-1200.00
2020-06-08|12:20:00|Domain Renewal|GoDaddy|-19.99
2024-01-05|09:45:00|New Year Party Supplies|Party City|-200.00
2023-04-03|14:30:00|Security System|ADT|-89.99
2022-10-19|11:11:00|Invoice 2002 paid|Green Energy LLC|4200.00
2021-12-25|08:00:00|Team Bonuses|Payroll|-3000.00
2020-02-29|10:33:00|Leap Year Discount|IRS|200.00
2024-06-15|16:20:00|Air Conditioning Repair|CoolAir|-350.00
2023-01-30|07:50:00|Taxi Reimbursement|Uber|-45.00
2022-09-01|12:00:00|Cloud Storage|Google|-12.00
2021-07-04|09:05:00|Independence Day Closed|N/A|0.00
2020-10-31|18:30:00|Halloween Decor|Spirit Halloween|-65.00
2024-03-08|10:15:00|International Women's Day Donation|CharityXYZ|-100.00
2023-05-17|13:40:00|Invoice 2003 paid|North Studios|3800.00
2022-01-14|08:22:00|Printer|Staples|-230.00
2021-11-11|11:11:00|Veterans Day Tribute|N/A|0.00
2020-08-07|14:05:00|Website Redesign|WebDev Inc|-2000.00
2024-07-22|09:30:00|Summer Team Outing|Local Brewery|-450.00
2023-10-09|15:00:00|Columbus Day Sale|Amazon|150.00
2022-04-01|12:45:00|April Fool's Joke|N/A|0.00
2021-02-14|10:20:00|Valentine's Day Bonus|Payroll|-500.00
2020-05-05|11:15:00|Cinco de Mayo Catering|Mexican Grill|-120.00

2025-05-02|14:02:00|Bill|Amazon|1200.00
